ID,Income
TEST_0000,32.919521939554556
TEST_0001,95.0765236227129
TEST_0002,510.5369462082903
TEST_0003,699.1167490032981
TEST_0004,4.119051712073883
TEST_0005,811.446119580361
TEST_0006,454.82102777873683
TEST_0007,4.119051712073883
TEST_0008,41.49207404553965
TEST_0009,966.2229929559784
TEST_0010,728.9289044303836
TEST_0011,684.4590382869123
TEST_0012,612.028655899204
TEST_0013,745.1031904468315
TEST_0014,1.0029354984751535
TEST_0015,881.5666239431146
TEST_0016,790.2672486146112
TEST_0017,801.8456362321015
TEST_0018,699.1167490032981
TEST_0019,881.5666239431146
TEST_0020,881.5666239431146
TEST_0021,966.2229929559784
TEST_0022,1.0029354984751535
TEST_0023,684.4590382869123
TEST_0024,1.0029354984751535
TEST_0025,728.9289044303836
TEST_0026,801.4687304630332
TEST_0027,750.507892030492
TEST_0028,-3.6431805423144397
TEST_0029,648.5580340045556
TEST_0030,1.0029354984751535
TEST_0031,689.4901742064437
TEST_0032,614.4735232792773
TEST_0033,-3.6431805423144397
TEST_0034,830.8423745749989
TEST_0035,-3.6431805423144397
TEST_0036,4.119051712073883
TEST_0037,695.8095992083576
TEST_0038,764.1169744153611
TEST_0039,4.119051712073883
TEST_0040,517.692358557614
TEST_0041,830.8423745749989
TEST_0042,715.8062007120843
TEST_0043,925.4172779330809
TEST_0044,512.9259189230338
TEST_0045,966.2229929559784
TEST_0046,908.1965429277736
TEST_0047,779.6391244018439
TEST_0048,591.0650881828776
TEST_0049,1.0029354984751535
TEST_0050,-31.905570466531344
TEST_0051,443.52233153434076
TEST_0052,486.8680165376969
TEST_0053,903.8231216532017
TEST_0054,614.4735232792773
TEST_0055,665.438142197359
TEST_0056,966.2229929559784
TEST_0057,1.0029354984751535
TEST_0058,665.438142197359
TEST_0059,764.1169744153611
TEST_0060,693.2316128047548
TEST_0061,699.1167490032981
TEST_0062,524.6523390797348
TEST_0063,769.4355460117354
TEST_0064,600.1453530790841
