"Timestamp","3370-20-COMP-A-LCP-AI002"
" 2024-08-05 00:00:00","22.729"
" 2024-08-05 00:05:20","22.699"
" 2024-08-05 00:49:13","22.546"
" 2024-08-05 01:01:03","22.516"
" 2024-08-05 01:58:09","22.401"
" 2024-08-05 02:13:26","22.371"
" 2024-08-05 02:59:21","22.31"
" 2024-08-05 03:14:57","22.295"
" 2024-08-05 03:57:07","22.256"
" 2024-08-05 04:07:16","22.249"
" 2024-08-05 04:57:58","22.218"
" 2024-08-05 05:07:59","22.211"
" 2024-08-05 05:49:47","22.188"
" 2024-08-05 06:10:38","22.173"
" 2024-08-05 06:50:53","22.157"
" 2024-08-05 07:13:09","22.15"
" 2024-08-05 07:57:07","22.127"
" 2024-08-05 08:23:23","22.119"
" 2024-08-05 08:54:29","22.165"
" 2024-08-05 09:04:41","22.249"
" 2024-08-05 09:58:34","22.577"
" 2024-08-05 10:08:44","22.615"
" 2024-08-05 10:52:43","22.737"
" 2024-08-05 11:05:35","22.76"
" 2024-08-05 11:45:58","22.806"
" 2024-08-05 12:09:52","22.821"
" 2024-08-05 12:50:56","22.852"
" 2024-08-05 14:48:36","22.874"
" 2024-08-05 16:13:17","22.859"
" 2024-08-05 16:58:13","22.691"
" 2024-08-05 17:13:39","22.668"
" 2024-08-05 17:56:55","22.783"
" 2024-08-05 18:08:44","22.813"
" 2024-08-05 18:51:03","22.905"
" 2024-08-05 19:01:35","22.935"
" 2024-08-05 19:51:13","23.004"
" 2024-08-05 20:06:45","23.012"
" 2024-08-05 20:51:29","23.05"
" 2024-08-05 21:01:32","23.065"
" 2024-08-05 21:15:03","23.08"
" 2024-08-05 21:57:00","23.012"
" 2024-08-05 22:07:11","22.951"
" 2024-08-05 22:48:58","22.745"
" 2024-08-05 23:00:02","22.699"
" 2024-08-05 23:42:19","22.569"
" 2024-08-05 23:57:53","54.208"
" 2024-08-06 00:04:41","53.148"
" 2024-08-06 00:59:42","34.563"
" 2024-08-06 01:05:45","33.548"
" 2024-08-06 01:59:13","28.146"
" 2024-08-06 02:09:15","27.582"
" 2024-08-06 02:49:47","26.025"
" 2024-08-06 02:59:58","25.758"
" 2024-08-06 03:10:07","25.522"
" 2024-08-06 03:40:29","57.291"
" 2024-08-06 03:59:47","51.111"
" 2024-08-06 04:01:58","50.081"
" 2024-08-06 04:58:57","34.723"
" 2024-08-06 05:06:32","33.716"
" 2024-08-06 05:55:40","29.665"
" 2024-08-06 06:05:43","29.115"
" 2024-08-06 06:26:02","28.23"
" 2024-08-06 06:34:00","49.829"
" 2024-08-06 06:56:46","42.65"
" 2024-08-06 06:59:59","41.628"
" 2024-08-06 07:55:41","31.465"
" 2024-08-06 08:05:42","30.542"
" 2024-08-06 08:56:07","27.849"
" 2024-08-06 09:06:10","27.628"
" 2024-08-06 09:57:05","26.544"
" 2024-08-06 10:07:38","26.361"
" 2024-08-06 10:49:15","25.766"
" 2024-08-06 11:00:08","25.644"
" 2024-08-06 11:53:32","25.125"
" 2024-08-06 12:03:58","25.041"
" 2024-08-06 12:56:12","24.667"
" 2024-08-06 13:06:14","24.606"
" 2024-08-06 13:59:13","24.301"
" 2024-08-06 14:09:22","24.248"
" 2024-08-06 14:52:27","24.042"
" 2024-08-06 15:03:08","23.988"
" 2024-08-06 15:59:52","23.759"
" 2024-08-06 16:09:54","23.721"
" 2024-08-06 16:50:18","23.523"
" 2024-08-06 17:00:28","23.477"
" 2024-08-06 17:14:27","23.454"
" 2024-08-06 17:50:07","23.523"
" 2024-08-06 18:00:09","23.538"
" 2024-08-06 18:22:39","23.546"
" 2024-08-06 18:48:40","23.538"
" 2024-08-06 19:22:15","23.531"
" 2024-08-06 19:32:17","23.523"
" 2024-08-06 20:10:28","23.515"
" 2024-08-06 20:20:33","23.531"
" 2024-08-06 20:59:29","23.508"
" 2024-08-06 21:17:41","23.492"
" 2024-08-06 21:49:44","23.462"
" 2024-08-06 22:17:31","23.454"
" 2024-08-06 22:59:55","23.363"
" 2024-08-06 23:12:24","23.317"
" 2024-08-06 23:55:32","23.096"
" 2024-08-07 00:07:14","23.042"
" 2024-08-07 00:49:37","22.882"
" 2024-08-07 01:00:33","22.852"
" 2024-08-07 01:51:32","22.729"
" 2024-08-07 02:04:09","22.699"
" 2024-08-07 02:50:50","22.607"
" 2024-08-07 03:02:33","22.6"
" 2024-08-07 03:50:49","58.725"
" 2024-08-07 03:59:26","55.582"
" 2024-08-07 04:01:38","54.514"
" 2024-08-07 04:56:35","38.11"
" 2024-08-07 05:03:01","37.103"
" 2024-08-07 05:58:37","31.786"
" 2024-08-07 06:08:39","31.213"
" 2024-08-07 06:59:23","29.131"
" 2024-08-07 07:09:25","28.757"
" 2024-08-07 07:49:58","27.589"
" 2024-08-07 08:00:00","27.361"
" 2024-08-07 08:40:25","26.582"
" 2024-08-07 08:59:36","54.453"
" 2024-08-07 09:03:05","55.482"
" 2024-08-07 09:26:30","58.496"
" 2024-08-07 09:58:11","47.243"
" 2024-08-07 10:01:31","46.198"
" 2024-08-07 10:51:42","36.028"
" 2024-08-07 11:00:43","35.02"
" 2024-08-07 11:51:04","31.412"
" 2024-08-07 12:01:15","30.946"
" 2024-08-07 12:51:50","29.26"
" 2024-08-07 13:02:09","29.008"
" 2024-08-07 13:53:01","28.024"
" 2024-08-07 14:03:34","27.849"
" 2024-08-07 14:56:06","27.132"
" 2024-08-07 15:06:47","26.994"
" 2024-08-07 15:57:39","26.346"
" 2024-08-07 16:07:41","26.231"
" 2024-08-07 16:59:42","25.568"
" 2024-08-07 17:10:15","25.438"
" 2024-08-07 17:51:57","25.087"
" 2024-08-07 18:01:59","25.003"
" 2024-08-07 18:53:43","24.568"
" 2024-08-07 19:03:46","24.492"
" 2024-08-07 19:58:12","24.149"
" 2024-08-07 20:10:01","24.08"
" 2024-08-07 20:45:09","23.958"
" 2024-08-07 20:59:08","23.988"
" 2024-08-07 21:11:44","24.011"
" 2024-08-07 21:25:28","24.019"
" 2024-08-07 22:37:34","24.011"
" 2024-08-07 22:54:57","24.004"
" 2024-08-07 23:11:26","23.981"
" 2024-08-07 23:51:05","23.943"
" 2024-08-08 00:11:47","23.92"
" 2024-08-08 00:48:20","23.874"
" 2024-08-08 01:01:27","23.859"
" 2024-08-08 01:50:06","23.691"
" 2024-08-08 02:00:47","23.615"
" 2024-08-08 02:52:13","23.332"
" 2024-08-08 03:03:02","23.279"
" 2024-08-08 03:55:54","23.058"
" 2024-08-08 04:08:07","23.019"
" 2024-08-08 04:58:09","22.913"
" 2024-08-08 05:09:43","22.89"
" 2024-08-08 05:57:02","22.806"
" 2024-08-08 06:08:37","22.791"
" 2024-08-08 06:50:17","22.729"
" 2024-08-08 07:03:55","22.707"
" 2024-08-08 07:54:35","22.646"
" 2024-08-08 08:07:03","22.638"
" 2024-08-08 08:30:44","22.607"
" 2024-08-08 08:57:44","54.857"
" 2024-08-08 09:01:51","55.894"
" 2024-08-08 09:27:11","58.504"
" 2024-08-08 09:57:55","48.189"
" 2024-08-08 10:00:45","47.182"
" 2024-08-08 10:52:42","35.997"
" 2024-08-08 11:01:27","34.982"
" 2024-08-08 11:51:39","31.236"
" 2024-08-08 12:01:42","30.756"
" 2024-08-08 12:52:07","29.047"
" 2024-08-08 13:02:24","28.795"
" 2024-08-08 13:53:19","27.803"
" 2024-08-08 14:03:35","27.635"
" 2024-08-08 14:55:24","26.941"
" 2024-08-08 15:06:20","26.819"
" 2024-08-08 15:57:38","26.216"
" 2024-08-08 16:08:03","26.109"
" 2024-08-08 16:59:29","25.385"
" 2024-08-08 17:09:38","25.278"
" 2024-08-08 17:51:20","24.927"
" 2024-08-08 18:02:15","24.866"
" 2024-08-08 18:54:58","24.583"
" 2024-08-08 19:05:00","24.538"
" 2024-08-08 19:49:29","24.324"
" 2024-08-08 20:08:59","24.278"
" 2024-08-08 20:28:08","24.286"
" 2024-08-08 20:55:41","24.263"
" 2024-08-08 21:19:27","24.24"
" 2024-08-08 21:51:50","24.187"
" 2024-08-08 22:03:27","24.156"
" 2024-08-08 22:56:01","24.011"
" 2024-08-08 23:06:19","23.935"
" 2024-08-08 23:58:45","23.599"
" 2024-08-09 00:09:32","23.546"
" 2024-08-09 00:54:31","23.347"
" 2024-08-09 01:06:06","23.302"
" 2024-08-09 01:55:04","23.149"
" 2024-08-09 02:09:04","23.111"
" 2024-08-09 02:53:53","23.004"
" 2024-08-09 03:06:45","22.974"
" 2024-08-09 03:56:31","22.874"
" 2024-08-09 04:09:08","22.859"
" 2024-08-09 04:59:18","22.76"
" 2024-08-09 05:09:27","22.752"
" 2024-08-09 05:36:05","22.707"
" 2024-08-09 06:01:10","22.684"
" 2024-08-09 06:27:32","22.653"
" 2024-08-09 06:59:10","22.737"
" 2024-08-09 07:09:12","22.752"
" 2024-08-09 07:39:41","22.737"
" 2024-08-09 08:08:14","22.714"
" 2024-08-09 08:39:06","22.691"
" 2024-08-09 08:56:59","54.254"
" 2024-08-09 09:00:04","55.292"
" 2024-08-09 09:21:25","58.351"
" 2024-08-09 09:59:14","44.832"
" 2024-08-09 10:02:35","43.825"
" 2024-08-09 10:51:58","34.669"
" 2024-08-09 11:01:37","33.662"
" 2024-08-09 11:51:47","30.428"
" 2024-08-09 11:59:54","43.436"
" 2024-08-09 12:00:17","44.908"
" 2024-08-09 12:36:40","58.847"
" 2024-08-09 12:59:41","49.562"
" 2024-08-09 13:02:24","48.547"
" 2024-08-09 13:59:22","36.272"
" 2024-08-09 14:08:07","35.265"
" 2024-08-09 14:58:17","31.747"
" 2024-08-09 15:08:21","31.313"
" 2024-08-09 15:59:19","29.626"
" 2024-08-09 16:09:36","29.375"
" 2024-08-09 16:50:23","28.276"
" 2024-08-09 17:00:33","28.017"
" 2024-08-09 17:51:46","27.429"
" 2024-08-09 18:01:48","27.261"
