"Timestamp","3370-20-E2F26"
" 2024-08-05 00:00:00","33.488"
" 2024-08-05 00:03:47","33.458"
" 2024-08-05 00:03:55","33.488"
" 2024-08-05 00:56:47","33.339"
" 2024-08-05 01:07:05","33.309"
" 2024-08-05 01:09:31","33.339"
" 2024-08-05 01:38:12","33.279"
" 2024-08-05 01:49:23","33.279"
" 2024-08-05 02:45:28","33.25"
" 2024-08-05 02:49:44","33.279"
" 2024-08-05 02:59:44","33.25"
" 2024-08-05 03:02:42","33.279"
" 2024-08-05 03:29:51","33.22"
" 2024-08-05 03:59:41","33.22"
" 2024-08-05 04:00:35","33.25"
" 2024-08-05 04:58:12","33.19"
" 2024-08-05 04:59:53","33.19"
" 2024-08-05 05:00:00","33.22"
" 2024-08-05 05:05:17","33.19"
" 2024-08-05 05:56:51","33.19"
" 2024-08-05 06:01:06","33.22"
" 2024-08-05 06:11:32","33.16"
" 2024-08-05 06:58:52","33.19"
" 2024-08-05 07:00:17","33.16"
" 2024-08-05 07:09:55","33.19"
" 2024-08-05 07:58:24","33.19"
" 2024-08-05 08:01:00","33.16"
" 2024-08-05 08:59:53","80.56"
" 2024-08-05 09:00:01","80.649"
" 2024-08-05 09:41:12","97.728"
" 2024-08-05 09:59:59","66.248"
" 2024-08-05 10:00:06","66.069"
" 2024-08-05 10:59:55","40.361"
" 2024-08-05 11:00:10","40.331"
" 2024-08-05 11:59:37","35.719"
" 2024-08-05 12:00:31","35.69"
" 2024-08-05 12:59:17","34.559"
" 2024-08-05 14:35:06","34.023"
" 2024-08-05 14:35:14","34.053"
" 2024-08-05 15:55:47","33.875"
" 2024-08-05 16:03:54","33.845"
" 2024-08-05 16:09:49","33.875"
" 2024-08-05 16:57:42","33.636"
" 2024-08-05 17:04:15","33.607"
" 2024-08-05 17:56:01","33.845"
" 2024-08-05 18:12:05","33.875"
" 2024-08-05 18:12:43","33.845"
" 2024-08-05 18:58:38","33.875"
" 2024-08-05 19:05:19","33.845"
" 2024-08-05 19:29:45","33.875"
" 2024-08-05 19:58:25","33.875"
" 2024-08-05 20:01:00","33.845"
" 2024-08-05 20:29:39","33.875"
" 2024-08-05 20:59:21","33.875"
" 2024-08-05 21:00:15","33.845"
" 2024-08-05 21:29:45","33.875"
