Timestamp,3370-02-EBB08,3370-02-AI153,3370-02-AI156,3370-02-AI109,3370-02-AI110,3370-01-G-MODE,3370-01-P-MODE
2024-08-06 12:30:00,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:30:05,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:30:10,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:30:15,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:30:20,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:30:25,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:30:30,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:30:35,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:30:40,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:30:45,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:30:50,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:30:55,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:31:00,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:31:05,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:31:10,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:31:15,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:31:20,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:31:25,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:31:30,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:31:35,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:31:40,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:31:45,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:31:50,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:31:55,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:32:00,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:32:05,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:32:10,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:32:15,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:32:20,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:32:25,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:32:30,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:32:35,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:32:40,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:32:45,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:32:50,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:32:55,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:33:00,8.831,7.689,8.744,53.865,53.926,1.0,1.0
2024-08-06 12:33:05,8.831,7.689,8.744,53.865,53.926,1.0,1.0
